1  7401.6	2.247295e+00	1.257893e-01	1.041795e+00	3.073984e+00	9.557425e-01	8.035099e-02	6.100000e+01	1.300000e-01	6.860000e+00	2.229000e+02	3.800000e+01	3.520000e+01	1.026000e+02	0.000000e+00	6.750000e+00	9.410000e+00	1.928000e+01	8.170000e+01	2.082000e-01	5.227000e-02	1.471000e-01	9.790000e-02	2.464000e-01	6.670000e-01	1.840000e-01	2.054000e-01	3.460000e-01	1.892000e-01	3.750000e-01	1.409000e+00	9.985900e+02	9.958900e+02	1.000280e+02	1.027939e+01	6.525482e-01	2.478835e-01	6.547299e+01	2.162790e+00	8.379443e-01	
2  7372.63	2.242875e+00	1.239430e-01	1.041900e+00	3.070801e+00	9.574608e-01	8.031604e-02	6.100000e+01	1.300000e-01	6.860000e+00	2.229000e+02	3.800000e+01	3.520000e+01	1.026000e+02	0.000000e+00	6.750000e+00	9.410000e+00	1.928000e+01	8.170000e+01	2.082000e-01	5.227000e-02	1.471000e-01	9.790000e-02	2.464000e-01	6.670000e-01	1.840000e-01	2.054000e-01	3.460000e-01	1.892000e-01	3.750000e-01	1.409000e+00	9.985900e+02	9.958900e+02	1.000280e+02	1.024991e+01	6.633056e-01	2.478647e-01	6.608724e+01	2.155917e+00	8.317454e-01	
12  6798.64	2.242069e+00	1.216127e-01	1.041764e+00	3.069087e+00	9.504115e-01	6.024435e-02	6.100000e+01	1.300000e-01	6.860000e+00	2.229000e+02	3.800000e+01	3.520000e+01	1.026000e+02	0.000000e+00	6.750000e+00	9.410000e+00	1.928000e+01	8.170000e+01	2.082000e-01	5.227000e-02	1.471000e-01	9.790000e-02	2.464000e-01	6.670000e-01	1.840000e-01	2.054000e-01	3.460000e-01	1.892000e-01	3.750000e-01	1.409000e+00	9.985900e+02	9.958900e+02	1.000280e+02	8.305283e+00	6.760259e-01	2.478613e-01	6.683435e+01	2.152225e+00	8.213608e-01	
1  6792.7	2.242069e+00	1.216127e-01	1.041764e+00	3.069087e+00	9.504115e-01	6.024435e-02	6.229891e+01	1.140598e-01	7.696772e+00	2.188641e+02	3.770136e+01	3.204165e+01	1.014736e+02	2.136927e+00	7.081215e+00	8.914715e+00	2.094694e+01	8.203598e+01	2.070363e-01	5.213348e-02	1.418691e-01	9.365641e-02	2.560829e-01	6.608337e-01	1.550558e-01	2.163979e-01	3.401471e-01	1.789016e-01	3.649081e-01	1.573928e+00	9.984296e+02	9.957158e+02	9.992259e+01	8.305283e+00	6.760259e-01	2.478613e-01	6.683435e+01	2.152225e+00	8.213608e-01	
5  6786.93	2.242069e+00	1.216127e-01	1.041764e+00	3.069087e+00	9.504115e-01	6.024435e-02	6.030003e+01	3.722424e-02	6.796777e+00	2.016351e+02	3.480932e+01	3.122254e+01	1.120564e+02	2.947108e+00	8.203709e+00	8.426584e+00	2.030603e+01	7.879177e+01	2.010623e-01	5.281889e-02	1.546847e-01	9.560905e-02	2.599790e-01	7.052575e-01	5.030486e-02	2.426926e-01	5.083876e-01	1.680731e-01	3.742355e-01	1.559583e+00	9.981671e+02	9.959735e+02	1.000931e+02	8.305283e+00	6.760259e-01	2.478613e-01	6.683435e+01	2.152225e+00	8.213608e-01	
6  6782.89	2.242069e+00	1.216127e-01	1.041764e+00	3.069087e+00	9.504115e-01	6.024435e-02	5.857076e+01	2.462027e-03	7.166634e+00	2.071745e+02	3.698725e+01	3.062701e+01	1.162287e+02	3.542852e+00	9.415286e+00	8.695193e+00	2.270298e+01	7.835477e+01	1.939837e-01	5.287573e-02	1.545925e-01	9.786615e-02	2.519005e-01	7.642022e-01	4.988011e-02	2.075350e-01	5.967142e-01	1.373384e-01	3.501423e-01	1.577309e+00	9.980072e+02	9.958421e+02	9.997228e+01	8.305283e+00	6.760259e-01	2.478613e-01	6.683435e+01	2.152225e+00	8.213608e-01	
10  6765.68	2.242069e+00	1.216127e-01	1.041764e+00	3.069087e+00	9.504115e-01	6.024435e-02	6.034476e+01	9.107019e-02	8.234964e+00	2.256748e+02	3.757484e+01	3.095172e+01	1.220398e+02	8.838097e-01	8.995894e+00	8.043229e+00	2.289257e+01	8.188913e+01	1.932052e-01	4.976554e-02	1.498242e-01	9.587338e-02	2.670215e-01	7.701009e-01	5.377103e-02	1.901253e-01	5.531027e-01	1.816673e-01	3.951159e-01	1.764960e+00	9.973813e+02	9.948124e+02	1.000228e+02	8.305283e+00	6.760259e-01	2.478613e-01	6.683435e+01	2.152225e+00	8.213608e-01	
2  6744.17	2.242069e+00	1.216127e-01	1.041764e+00	3.069087e+00	9.504115e-01	6.024435e-02	6.120670e+01	1.292802e-01	8.533787e+00	2.232491e+02	3.630335e+01	3.033594e+01	1.179768e+02	9.692220e-01	8.335958e+00	1.031019e+01	2.295899e+01	8.539249e+01	1.861276e-01	5.129371e-02	1.499884e-01	9.458405e-02	2.956861e-01	7.896597e-01	1.542624e-02	2.045412e-01	6.281897e-01	1.903118e-01	3.482026e-01	1.787252e+00	9.975574e+02	9.951209e+02	1.000747e+02	8.305283e+00	6.760259e-01	2.478613e-01	6.683435e+01	2.152225e+00	8.213608e-01	
7  6707.89	2.242069e+00	1.216127e-01	1.041764e+00	3.069087e+00	9.504115e-01	6.024435e-02	6.318370e+01	1.130199e-01	8.668883e+00	2.364601e+02	3.578458e+01	2.895468e+01	1.162107e+02	2.664559e+00	8.160268e+00	8.467015e+00	2.682042e+01	8.872777e+01	1.758040e-01	5.314606e-02	1.464947e-01	9.381321e-02	3.025195e-01	8.057521e-01	6.845711e-02	2.461875e-01	7.679628e-01	1.716273e-01	3.509184e-01	1.865684e+00	9.973911e+02	9.967694e+02	1.003159e+02	8.305283e+00	6.760259e-01	2.478613e-01	6.683435e+01	2.152225e+00	8.213608e-01	
8  6688.8	2.242069e+00	1.216127e-01	1.041764e+00	3.069087e+00	9.504115e-01	6.024435e-02	6.233695e+01	3.055309e-03	9.616622e+00	2.442353e+02	3.481203e+01	2.853855e+01	1.242213e+02	5.041007e+00	8.505855e+00	7.708517e+00	2.329805e+01	8.651068e+01	1.657402e-01	5.296180e-02	1.553763e-01	9.296681e-02	2.884380e-01	8.126865e-01	5.175043e-02	2.430313e-01	6.688751e-01	1.898063e-01	3.750460e-01	1.827593e+00	9.977752e+02	9.976712e+02	1.003919e+02	8.305283e+00	6.760259e-01	2.478613e-01	6.683435e+01	2.152225e+00	8.213608e-01	
